make,year,price_pkr,mileage_km,engine_cc,transmission,fuel_type,city,seller_type
Honda,2022.0,3875000.0,19198.0,660.0,Automatic,Petrol,Lahore,Individual
Honda,2023.0,4025000.0,20997.0,660.0,Automatic,Petrol,Lahore,Individual
Toyota,2004.0,3500000.0,180000.0,3000.0,Manual,Diesel,Peshawar,Individual
Toyota,2017.0,8850000.0,97000.0,3000.0,Automatic,Diesel,Peshawar,Individual
Honda,2019.0,5685000.0,82000.0,1800.0,Automatic,Petrol,Rawalpindi,Individual
Toyota,2022.0,4350000.0,88182.0,1000.0,Automatic,Petrol,Lahore,Individual
Suzuki,2022.0,3990000.0,70014.0,660.0,Automatic,Hybrid,Lahore,Individual
Mitsubishi,2010.0,1850000.0,153000.0,660.0,Automatic,Petrol,Lahore,Individual
Suzuki,2022.0,3990000.0,30429.0,660.0,Automatic,Hybrid,Lahore,Individual
Toyota,2010.0,150000.0,95000.0,2700.0,Automatic,Petrol,Lahore,Individual
Toyota,2013.0,7450000.0,68000.0,2700.0,Automatic,Petrol,Sialkot,Individual
Nissan,2018.0,7250000.0,171000.0,1200.0,Automatic,Hybrid,Islamabad,Individual
Nissan,2015.0,2100000.0,75000.0,660.0,Automatic,Petrol,Karachi,Individual
Honda,2016.0,4800000.0,56000.0,1800.0,Automatic,Petrol,Hyderabad,Individual
Suzuki,2026.0,3325000.0,25.0,660.0,Automatic,Petrol,Lahore,Individual
KIA,2020.0,6700000.0,100000.0,2000.0,Automatic,Petrol,Faisalabad,Individual
Suzuki,1996.0,450000.0,100000.0,800.0,Manual,Petrol,Faisalabad,Individual
Suzuki,2001.0,800000.0,60000.0,800.0,Manual,Petrol,Muzaffarabad,Individual
Honda,2012.0,2950000.0,205000.0,1800.0,Manual,Petrol,Multan,Individual
Honda,2006.0,1700000.0,171532.0,1600.0,Manual,Petrol,Karachi,Individual
Toyota,2016.0,4380000.0,100000.0,1300.0,Automatic,Petrol,Lahore,Individual
Changan,2024.0,7800000.0,40000.0,1500.0,Automatic,Petrol,Quetta,Individual
Suzuki,2021.0,2850000.0,103000.0,1000.0,Automatic,Petrol,Lahore,Individual
Hyundai,2022.0,7300000.0,40000.0,2000.0,Automatic,Petrol,Faisalabad,Individual
Honda,2015.0,5175000.0,115000.0,1500.0,Automatic,Hybrid,Lahore,Individual
Changan,2022.0,7250000.0,61000.0,1500.0,Automatic,Petrol,Gujranwala,Individual
Suzuki,2015.0,2550000.0,168000.0,1300.0,Automatic,Petrol,Rawalpindi,Individual
Hyundai,2025.0,9300000.0,18000.0,2000.0,Automatic,Petrol,Karachi,Individual
Suzuki,2005.0,780000.0,99000.0,800.0,Manual,Petrol,Rawalpindi,Individual
Honda,2012.0,3200000.0,157000.0,1800.0,Automatic,Petrol,Islamabad,Individual
Hyundai,2007.0,1225000.0,125000.0,1000.0,Manual,Petrol,Faisalabad,Individual
Honda,2015.0,4125000.0,119000.0,1800.0,Automatic,Petrol,Kohat,Individual
Daihatsu,2017.0,2775000.0,68000.0,660.0,Automatic,Petrol,Lahore,Individual
Toyota,2022.0,6650000.0,36000.0,1800.0,Automatic,Petrol,Karachi,Individual
Suzuki,2021.0,2365000.0,41000.0,660.0,Manual,Petrol,Karachi,Individual
Toyota,2021.0,4690000.0,31000.0,1500.0,Automatic,Petrol,Karachi,Individual
Toyota,2019.0,3800000.0,109000.0,1300.0,Manual,Petrol,Lahore,Individual
Toyota,2025.0,9000000.0,14000.0,1800.0,Automatic,Hybrid,Islamabad,Individual
Honda,2018.0,3779999.9999999995,92000.0,1300.0,Automatic,Petrol,Lahore,Individual
Hyundai,2025.0,166000.0,13000.0,2500.0,Automatic,Petrol,Multan,Individual
Suzuki,2018.0,2550000.0,74000.0,1000.0,Manual,Petrol,Karachi,Individual
