title,url,price,year,mileage,engine,transmission,fuel_type,city,seller_type,ad_id,posted_date,scraped_at,source_type,source_url,make,model_slug,record_type
Honda N Box  2022 Custom GL for Sale9.7/10,https://www.pakwheels.com/used-cars/honda-n-box-2022-for-sale-in-lahore-10843516,3875000.0,2022.0,19198,660.0,Automatic,Petrol,Lahore,Individual,main_ad_10843516,Automatic,4/23/2026 0:00,used-car,https://www.pakwheels.com/used-cars/search/-/,,,
Honda N Wgn  2023 L for Sale9.5/10,https://www.pakwheels.com/used-cars/honda-n-wgn-2023-for-sale-in-lahore-10865190,4025000.0,2023.0,20997,660.0,Automatic,Petrol,Lahore,Individual,main_ad_10865190,Automatic,4/23/2026 0:00,used-car,https://www.pakwheels.com/used-cars/search/-/,,,
Toyota Hilux  2004 Double Cab for Sale,https://www.pakwheels.com/used-cars/toyota-hilux-2004-for-sale-in-peshawar-11347129,3500000.0,2004.0,180000,3000.0,Manual,Diesel,Peshawar,Individual,main_ad_11347129,Manual,4/23/2026 0:00,used-car,https://www.pakwheels.com/used-cars/search/-/,,,
Toyota Hilux  2017 Revo V Automatic 3.0  for Sale,https://www.pakwheels.com/used-cars/toyota-hilux-2017-for-sale-in-peshawar-11393981,8850000.0,2017.0,97000,3000.0,Automatic,Diesel,Peshawar,Individual,main_ad_11393981,Automatic,4/23/2026 0:00,used-car,https://www.pakwheels.com/used-cars/search/-/,,,
Honda Civic  2019 Oriel 1.8 i-VTEC CVT for Sale,https://www.pakwheels.com/used-cars/honda-civic-2019-for-sale-in-rawalpindi-11390502,5685000.0,2019.0,82000,1800.0,Automatic,Petrol,Rawalpindi,Individual,main_ad_11390502,Automatic,4/23/2026 0:00,used-car,https://www.pakwheels.com/used-cars/search/-/,,,
Toyota Passo  2022 X for Sale,https://www.pakwheels.com/used-cars/toyota-passo-2022-for-sale-in-lahore-11341763,4350000.0,2022.0,88182,1000.0,Automatic,Petrol,Lahore,Individual,main_ad_11341763,Automatic,4/23/2026 0:00,used-car,https://www.pakwheels.com/used-cars/search/-/,,,
Suzuki Wagon R  2022 Hybrid FX for Sale,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2022-for-sale-in-lahore-11357437,3990000.0,2022.0,70014,660.0,Automatic,Hybrid,Lahore,Individual,main_ad_11357437,Automatic,4/23/2026 0:00,used-car,https://www.pakwheels.com/used-cars/search/-/,,,
Mitsubishi Ek Wagon  2010 Limited for Sale,https://www.pakwheels.com/used-cars/mitsubishi-ek-wagon-2010-for-sale-in-lahore-11393963,1850000.0,2010.0,153000,660.0,Automatic,Petrol,Lahore,Individual,main_ad_11393963,Automatic,4/23/2026 0:00,used-car,https://www.pakwheels.com/used-cars/search/-/,,,
Suzuki Wagon R  2022 Hybrid FX for Sale,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2022-for-sale-in-lahore-11313509,3990000.0,2022.0,30429,660.0,Automatic,Hybrid,Lahore,Individual,main_ad_11313509,Automatic,4/23/2026 0:00,used-car,https://www.pakwheels.com/used-cars/search/-/,,,
Toyota Prado  2010 TX 2.7 for Sale,https://www.pakwheels.com/used-cars/toyota-prado-2010-for-sale-in-lahore-11088471,15000000.0,2010.0,95000,2700.0,Automatic,Petrol,Lahore,Individual,main_ad_11088471,Automatic,4/23/2026 0:00,used-car,https://www.pakwheels.com/used-cars/search/-/,,,
