title,url,price,year,mileage,engine,transmission,fuel_type,city,seller_type,ad_id,posted_date,scraped_at,source_type,source_url,make,model_slug,record_type
Honda N Box  2022 Custom GL for Sale9.7/10,https://www.pakwheels.com/used-cars/honda-n-box-2022-for-sale-in-lahore-10843516,PKR 38.75 lacs,2022,"19,198 km",660 cc,Automatic,Petrol,Lahore,Individual,main_ad_10843516,Automatic,4/23/2026 0:00,used-car,https://www.pakwheels.com/used-cars/search/-/,,,
Honda N Wgn  2023 L for Sale9.5/10,https://www.pakwheels.com/used-cars/honda-n-wgn-2023-for-sale-in-lahore-10865190,PKR 40.25 lacs,2023,"20,997 km",660 cc,Automatic,Petrol,Lahore,Individual,main_ad_10865190,Automatic,4/23/2026 0:00,used-car,https://www.pakwheels.com/used-cars/search/-/,,,
Toyota Hilux  2004 Double Cab for Sale,https://www.pakwheels.com/used-cars/toyota-hilux-2004-for-sale-in-peshawar-11347129,PKR 35 lacs,2004,"180,000 km",3000 cc,Manual,Diesel,Peshawar,Individual,main_ad_11347129,Manual,4/23/2026 0:00,used-car,https://www.pakwheels.com/used-cars/search/-/,,,
Toyota Hilux  2017 Revo V Automatic 3.0  for Sale,https://www.pakwheels.com/used-cars/toyota-hilux-2017-for-sale-in-peshawar-11393981,PKR 88.5 lacs,2017,"97,000 km",3000 cc,Automatic,Diesel,Peshawar,Individual,main_ad_11393981,Automatic,4/23/2026 0:00,used-car,https://www.pakwheels.com/used-cars/search/-/,,,
Honda Civic  2019 Oriel 1.8 i-VTEC CVT for Sale,https://www.pakwheels.com/used-cars/honda-civic-2019-for-sale-in-rawalpindi-11390502,PKR 56.85 lacs,2019,"82,000 km",1800 cc,Automatic,Petrol,Rawalpindi,Individual,main_ad_11390502,Automatic,4/23/2026 0:00,used-car,https://www.pakwheels.com/used-cars/search/-/,,,
Toyota Passo  2022 X for Sale,https://www.pakwheels.com/used-cars/toyota-passo-2022-for-sale-in-lahore-11341763,PKR 43.5 lacs,2022,"88,182 km",1000 cc,Automatic,Petrol,Lahore,Individual,main_ad_11341763,Automatic,4/23/2026 0:00,used-car,https://www.pakwheels.com/used-cars/search/-/,,,
Suzuki Wagon R  2022 Hybrid FX for Sale,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2022-for-sale-in-lahore-11357437,PKR 39.9 lacs,2022,"70,014 km",660 cc,Automatic,Hybrid,Lahore,Individual,main_ad_11357437,Automatic,4/23/2026 0:00,used-car,https://www.pakwheels.com/used-cars/search/-/,,,
Mitsubishi Ek Wagon  2010 Limited for Sale,https://www.pakwheels.com/used-cars/mitsubishi-ek-wagon-2010-for-sale-in-lahore-11393963,PKR 18.5 lacs,2010,"153,000 km",660 cc,Automatic,Petrol,Lahore,Individual,main_ad_11393963,Automatic,4/23/2026 0:00,used-car,https://www.pakwheels.com/used-cars/search/-/,,,
Suzuki Wagon R  2022 Hybrid FX for Sale,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2022-for-sale-in-lahore-11313509,PKR 39.9 lacs,2022,"30,429 km",660 cc,Automatic,Hybrid,Lahore,Individual,main_ad_11313509,Automatic,4/23/2026 0:00,used-car,https://www.pakwheels.com/used-cars/search/-/,,,
Toyota Prado  2010 TX 2.7 for Sale,https://www.pakwheels.com/used-cars/toyota-prado-2010-for-sale-in-lahore-11088471,PKR 1.5 crore,2010,"95,000 km",2700 cc,Automatic,Petrol,Lahore,Individual,main_ad_11088471,Automatic,4/23/2026 0:00,used-car,https://www.pakwheels.com/used-cars/search/-/,,,
Toyota Fortuner  2013 TRD Sportivo for Sale,https://www.pakwheels.com/used-cars/toyota-fortuner-2013-for-sale-in-sialkot-9802901,PKR 74.5 lacs,2013,"68,000 km",2700 cc,Automatic,Petrol,Sialkot,Individual,main_ad_9802901,Automatic,4/23/2026 0:00,used-car,https://www.pakwheels.com/used-cars/search/-/,,,
Nissan Serena  2018 e-POWER Highway Star for Sale,https://www.pakwheels.com/used-cars/nissan-serena-2018-for-sale-in-islamabad-10295532,PKR 72.5 lacs,2018,"171,000 km",1200 cc,Automatic,Hybrid,Islamabad,Individual,main_ad_10295532,Automatic,4/23/2026 0:00,used-car,https://www.pakwheels.com/used-cars/search/-/,,,
Nissan Dayz Roox  2015  for Sale,https://www.pakwheels.com/used-cars/nissan-dayz-roox-2015-for-sale-in-karachi-11195509,PKR 21 lacs,2015,"75,000 km",660 cc,Automatic,Petrol,Karachi,Individual,main_ad_11195509,Automatic,4/23/2026 0:00,used-car,https://www.pakwheels.com/used-cars/search/-/,,,
Honda Civic Rebirth 2016 Oriel Prosmatec UG for Sale,https://www.pakwheels.com/used-cars/honda-civic-2016-for-sale-in-hyderabad-11393992,PKR 48 lacs,2016,"56,000 km",1800 cc,Automatic,Petrol,Hyderabad,Individual,main_ad_11393992,Automatic,4/23/2026 0:00,used-car,https://www.pakwheels.com/used-cars/search/-/,,,
Suzuki Alto  2026 VXL AGS Upgraded for Sale,https://www.pakwheels.com/used-cars/suzuki-alto-2026-for-sale-in-lahore-11393985,PKR 33.25 lacs,2026,25 km,660 cc,Automatic,Petrol,Lahore,Individual,main_ad_11393985,Automatic,4/23/2026 0:00,used-car,https://www.pakwheels.com/used-cars/search/-/,,,
KIA Sportage  2020 FWD for Sale,https://www.pakwheels.com/used-cars/kia-sportage-2020-for-sale-in-faisalabad-11393991,PKR 67 lacs,2020,"100,000 km",2000 cc,Automatic,Petrol,Faisalabad,Individual,main_ad_11393991,Automatic,4/23/2026 0:00,used-car,https://www.pakwheels.com/used-cars/search/-/,,,
Suzuki Mehran  1996 VX for Sale,https://www.pakwheels.com/used-cars/suzuki-mehran-1996-for-sale-in-faisalabad-11393986,PKR 4.5 lacs,1996,"100,000 km",800 cc,Manual,Petrol,Faisalabad,Individual,main_ad_11393986,Manual,4/23/2026 0:00,used-car,https://www.pakwheels.com/used-cars/search/-/,,,
Suzuki Mehran  2001 VXR for Sale,https://www.pakwheels.com/used-cars/suzuki-mehran-2001-for-sale-in-muzaffarabad-11393989,PKR 8 lacs,2001,"60,000 km",800 cc,Manual,Petrol,Muzaffarabad,Individual,main_ad_11393989,Manual,4/23/2026 0:00,used-car,https://www.pakwheels.com/used-cars/search/-/,,,
Honda Civic Rebirth 2012 VTi 1.8 i-VTEC for Sale,https://www.pakwheels.com/used-cars/honda-civic-2012-for-sale-in-multan-11281973,PKR 29.5 lacs,2012,"205,000 km",1800 cc,Manual,Petrol,Multan,Individual,main_ad_11281973,Manual,4/23/2026 0:00,used-car,https://www.pakwheels.com/used-cars/search/-/,,,
Honda Civic 7th Generation (Facelift) 2006 VTi Oriel 1.6 for Sale,https://www.pakwheels.com/used-cars/honda-civic-2006-for-sale-in-karachi-11393987,PKR 17 lacs,2006,"171,532 km",1600 cc,Manual,Petrol,Karachi,Individual,main_ad_11393987,Manual,4/23/2026 0:00,used-car,https://www.pakwheels.com/used-cars/search/-/,,,
Toyota Corolla  2016 GLi Automatic 1.3 VVTi for Sale,https://www.pakwheels.com/used-cars/toyota-corolla-2016-for-sale-in-lahore-11393984,PKR 43.8 lacs,2016,"100,000 km",1300 cc,Automatic,Petrol,Lahore,Individual,main_ad_11393984,Automatic,4/23/2026 0:00,used-car,https://www.pakwheels.com/used-cars/search/-/,,,
Changan Oshan X7  2024 FutureSense for Sale,https://www.pakwheels.com/used-cars/changan-oshan-x7-2024-for-sale-in-quetta-11393983,PKR 78 lacs,2024,"40,000 km",1500 cc,Automatic,Petrol,Quetta,Individual,main_ad_11393983,Automatic,4/23/2026 0:00,used-car,https://www.pakwheels.com/used-cars/search/-/,,,
Suzuki Wagon R  2021 AGS for Sale,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2021-for-sale-in-lahore-11252522,PKR 28.5 lacs,2021,"103,000 km",1000 cc,Automatic,Petrol,Lahore,Individual,main_ad_11252522,Automatic,4/23/2026 0:00,used-car,https://www.pakwheels.com/used-cars/search/-/,,,
Hyundai Tucson  2022 FWD A/T GLS Sport for Sale,https://www.pakwheels.com/used-cars/hyundai-tucson-2022-for-sale-in-faisalabad-11393972,PKR 73 lacs,2022,"40,000 km",2000 cc,Automatic,Petrol,Faisalabad,Individual,main_ad_11393972,Automatic,4/23/2026 0:00,used-car,https://www.pakwheels.com/used-cars/search/-/,,,
Honda Vezel  2015 Hybrid Z for Sale,https://www.pakwheels.com/used-cars/honda-vezel-2015-for-sale-in-lahore-11393980,PKR 51.75 lacs,2015,"115,000 km",1500 cc,Automatic,Hybrid,Lahore,Individual,main_ad_11393980,Automatic,4/23/2026 0:00,used-car,https://www.pakwheels.com/used-cars/search/-/,,,
Changan Oshan X7  2022 FutureSense for Sale,https://www.pakwheels.com/used-cars/changan-oshan-x7-2022-for-sale-in-gujranwala-11393978,PKR 72.5 lacs,2022,"61,000 km",1500 cc,Automatic,Petrol,Gujranwala,Individual,main_ad_11393978,Automatic,4/23/2026 0:00,used-car,https://www.pakwheels.com/used-cars/search/-/,,,
Suzuki Swift  2015 DLX Automatic 1.3 for Sale,https://www.pakwheels.com/used-cars/suzuki-swift-2015-for-sale-in-rawalpindi-11393977,PKR 25.5 lacs,2015,"168,000 km",1300 cc,Automatic,Petrol,Rawalpindi,Individual,main_ad_11393977,Automatic,4/23/2026 0:00,used-car,https://www.pakwheels.com/used-cars/search/-/,,,
Hyundai Tucson  2025 AWD A/T Ultimate (Black Interior) for Sale,https://www.pakwheels.com/used-cars/hyundai-tucson-2025-for-sale-in-karachi-11393975,PKR 93 lacs,2025,"18,000 km",2000 cc,Automatic,Petrol,Karachi,Individual,main_ad_11393975,Automatic,4/23/2026 0:00,used-car,https://www.pakwheels.com/used-cars/search/-/,,,
Suzuki Mehran  2005 VXR for Sale,https://www.pakwheels.com/used-cars/suzuki-mehran-2005-for-sale-in-rawalpindi-11277178,PKR 7.8 lacs,2005,"99,000 km",800 cc,Manual,Petrol,Rawalpindi,Individual,main_ad_11277178,Manual,4/23/2026 0:00,used-car,https://www.pakwheels.com/used-cars/search/-/,,,
Honda Civic Reborn 2012 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,https://www.pakwheels.com/used-cars/honda-civic-2012-for-sale-in-islamabad-11393957,PKR 32 lacs,2012,"157,000 km",1800 cc,Automatic,Petrol,Islamabad,Individual,main_ad_11393957,Automatic,4/23/2026 0:00,used-car,https://www.pakwheels.com/used-cars/search/-/,,,
